User,Name,Surname,Origin,Gender,Birthdate,Location,Employment,Frequency.Applications,Frequency.Assignment,Frequency.Course_view,Frequency.Feedback,Frequency.General,Frequency.Group_work,Frequency.Instructions,Frequency.La_types,Frequency.Practicals,Frequency.Social,Frequency.Ethics,Frequency.Theory,Frequency.Total,ActivityGroup,Grade.SNA_1,Grade.SNA_2,Grade.Review,Grade.Group_self,Grade.Group_All,Grade.Excercises,Grade.Project,Grade.Literature,Grade.Data,Grade.Introduction,Grade.Theory,Grade.Ethics,Grade.Critique,Final_grade,AchievingGroup
310c79a41,Maryam,Heydari,Iran,F,26.1.1999,On campus,None,0,35,181,19,16,322,51,12,73,17,3,3,732,Moderate activity,10,10,7.33,10,8.56,10,7.33,8.67,4,8,2,6,4,8.23817863404414,High achiever
31eedd54c,Noor,El Sewedy,UAE,F,7.1.1997,On campus,None,33,81,418,36,63,423,83,31,70,34,53,21,1346,High activity,6,10,7.67,9,8.56,10,4.33,8,4,8,2,4,4,8.23817863404414,High achiever
33946b26e,Alessandro,Rossi,Italy,M,7.5.1998,On campus,None,0,70,280,36,23,617,74,17,107,41,1,8,1274,High activity,10,10,7.67,10,9.03,10,7,8.67,3,8,2,6,4,7.72679509668578,Low achiever
36dde3dd4,Ema,Varga,Slovakia,F,23.3.1996,On campus,Part-time,0,42,109,19,1,278,34,2,77,7,0,0,569,Moderate activity,5,9,9.83,1,4,6.67,8,9.83,4,10,10,10,10,6.8884997085996,Low achiever
3924dd271,Afonso,Silva,Portugal,M,9.2.1998,On campus,None,4,46,375,68,20,602,119,18,124,27,0,13,1416,High activity,10,9,8,10,8.94,10,10,8.33,5,6,2,6,6,9.22708698179085,High achiever
3970a954b,Grace,Banda,Malawi,F,17.10.1999,On campus,Part-time,10,54,152,12,24,228,41,29,86,17,3,13,669,Moderate activity,10,10,10,9,9.18,10,10,10,5,10,10,10,10,9.41622883923283,High achiever
3df19c0ee,Benjamin,Brown,Canada,M,31.5.1999,Remote,None,6,52,222,45,43,307,100,16,62,42,5,11,911,High activity,10,10,9.67,10,9.18,10,6,9.67,5,10,6,10,10,8.23817863404414,High achiever
3e3a6ce0e,Ivana,Nikolić,Serbia,F,29.6.1999,On campus,None,0,50,89,18,1,73,55,2,36,9,6,3,342,Low activity,9,10,6.67,10,9.18,10,7,5,1,4,2,4,4,5.09632224176826,Low achiever
417892918,Miora,Rakotomalala,Madagascar,F,9.12.1995,Remote,None,22,193,834,49,109,756,175,31,158,88,28,25,2468,High activity,10,10,10,10,9.65,6.67,10,10,5,10,10,10,10,9.45242265026589,High achiever
475586bc0,Sumayah,Sharipova,Tajikistan,F,8.2.1999,On campus,Part-time,4,45,379,62,23,609,121,18,119,24,0,12,1416,High activity,10,10,10,10,9.29,10,8.33,10,4,10,10,10,10,9.45242265026589,High achiever
488b6e908,Bounthavy,Chanthavong,Laos,M,17.6.1990,On campus,None,10,42,252,35,21,431,46,14,73,28,17,17,986,High activity,8,10,8.33,9,9.29,3.33,8.33,8.67,5,10,2,8,8,7.93461763066004,Low achiever
4951e7386,Ralfs,Ozols,Latvia,M,17.9.1998,Remote,Part-time,3,49,107,14,14,125,44,18,43,2,0,12,431,Low activity,10,10,7,9,8.56,10,9.33,6.67,4,8,8,6,2,8.29305312429485,High achiever
4b1055dba,Ibrahim,Tesfaye,Ethiopia,M,29.8.1991,On campus,Part-time,0,53,283,28,20,334,67,12,69,36,12,4,918,High activity,7,10,6.67,10,9.29,10,4.33,5,3,4,2,2,2,7.27262113364114,Low achiever
4c7dfe845,David,Cohen,Israel,M,13.12.1999,On campus,None,0,17,80,7,14,57,19,14,17,9,0,12,246,Low activity,8,8,6.67,5,1,10,7,6.67,4,6,2,6,2,0,Low achiever
4dc9d84a0,Anastasia,Rusu,Moldova,F,24.3.1999,On campus,None,6,47,112,12,13,128,36,19,43,2,0,13,431,Low activity,5,9,9.83,9,9.18,3.33,10,9.33,5,10,10,6,8,8.58844133211566,High achiever
5305edc84,Arpi,Grigoryan,Armenia,F,9.9.1999,On campus,Part-time,6,51,115,17,20,143,17,11,99,0,8,6,493,Low activity,10,10,9.67,10,9.18,10,5.33,9.67,5,10,6,10,10,7.97314652709881,High achiever
53ca657b8,Sunita,Bantawa,Nepal,F,30.12.1991,On campus,None,0,25,59,13,31,150,14,10,37,3,8,6,356,Low activity,10,10,7.33,9,9.03,10,9,8.67,3,6,2,6,6,8.51605370736418,High achiever
53d6ab60c,Mila,Andov,North Macedonia,F,2.11.1999,On campus,Part-time,36,76,160,12,52,212,43,14,91,2,11,11,720,Moderate activity,10,10,10,10,9.65,10,10,10,5,10,10,10,10,9.03911266772306,High achiever
56dc40445,Mia,Müller,Germany,F,9.2.1999,On campus,Part-time,0,36,91,12,20,159,19,14,62,3,0,3,419,Low activity,7,10,9.67,6,4,3.33,7.67,9.67,5,10,10,10,10,5.60420315303208,Low achiever
57b5ca965,Patricia,Khan,Guyana,F,31.7.1992,On campus,None,0,35,176,19,13,323,54,11,73,20,3,4,731,Moderate activity,10,10,9.67,9,8.96,6.67,7.33,9.33,4,10,8,6,8,8.07705779341461,High achiever
590846fe3,Lucija,Horvat,Croatia,F,22.7.1998,Remote,None,4,25,176,20,16,176,69,11,43,22,18,14,594,Moderate activity,8,8,0,3,1,10,6,0.67,3,4,2,2,2,2.62697022882296,Low achiever
5af253695,Ava,Murphy,Ireland,F,12.12.1996,On campus,Part-time,2,46,119,12,14,125,36,18,45,2,0,12,431,Low activity,10,10,9.67,10,9.18,10,7.33,9.67,5,8,10,10,10,8.90718038593749,High achiever
654a12ceb,Davud,Delić,Bosnia,M,2.11.1998,On campus,None,9,74,313,38,51,358,84,30,145,17,10,18,1147,High activity,10,10,9.67,10,8.96,10,10,9.67,3,10,8,10,10,10,High achiever
654da75e0,Juan,Pereira,Uruguay,M,26.1.1998,On campus,None,0,71,293,32,25,611,70,15,105,43,1,8,1274,High activity,9,9,7.67,10,9.18,10,3.67,7.67,4,6,2,4,6,7.0262697032281,Low achiever
67774dc32,Abou,Hussein,Syria,M,23.1.1993,On campus,None,0,23,62,10,31,144,17,11,39,4,9,6,356,Low activity,10,10,7.33,9,9.03,10,9,8.67,3,6,2,6,6,8.51605370736418,High achiever
68a377c82,Saliha,Akmatova,Kyrgyzstan ,F,19.5.1999,Remote,None,1,58,161,20,26,230,26,13,94,9,7,13,658,Moderate activity,10,10,7.33,9,8.56,10,7,8.67,4,8,2,6,6,6.84296555862906,Low achiever
6c3c364f3,Carmen,Reyes,Dominican Republic,F,25.4.1993,On campus,None,19,52,281,52,51,272,112,21,96,28,0,15,999,High activity,10,10,10,10,9.11,10,9,10,5,10,10,10,10,9.97314652656175,High achiever
6eba3ff82,Amanda,Mora,Costa Rica,F,28.2.1998,On campus,None,0,54,49,16,17,61,20,13,58,11,0,13,312,Low activity,0,0,6.67,5,4,10,0,6.67,4,6,2,2,4,2.62697022882296,Low achiever
6fccddb82,Frida,Johansen,Norway,F,16.2.1999,On campus,None,10,80,251,45,50,282,86,13,60,17,11,9,914,High activity,10,9,9.83,10,9.11,6.67,7.67,9.33,5,10,6,8,8,7.97314652709881,High achiever
70581f7ef,Domingo,Morales,Guatemala,M,5.9.1994,Remote,None,9,86,241,47,48,281,87,17,63,16,11,8,914,High activity,9,9,6.33,10,8.96,10,3.67,7,3,6,2,2,4,7.27262113364114,Low achiever
72a9ecbd7,José,Benítez,Paraguay,M,31.10.1998,On campus,Part-time,0,143,204,14,23,250,20,17,124,5,17,15,832,High activity,9,10,7.33,9,9.29,3.33,0,8.33,3,6,4,6,6,7.00875656738465,Low achiever
77b6d3f57,Ha-yoon,Kim,South Korea,F,8.11.1999,On campus,None,1,55,152,20,28,239,24,15,95,10,5,14,658,Moderate activity,10,10,7.33,9,8.56,10,7,8.67,4,8,2,6,6,6.84296555862906,Low achiever
78a890306,Youssef,Saleh,Jordan,M,25.8.1995,On campus,Full-time,12,30,169,21,19,329,47,7,68,24,0,24,750,Moderate activity,5,5,9.67,9,9.03,10,10,9.67,5,10,10,10,10,9.10215995353706,High achiever
7a17472ef,Musa,Garba,Nigeria,M,12.10.1999,On campus,None,4,68,205,41,29,174,38,14,166,9,8,14,770,Moderate activity,10,10,7.67,10,9.29,10,9,7.33,3,6,8,6,4,7.93461763066004,Low achiever
7e2726f3c,Kazi,Akter,Bangladesh,M,22.12.1992,On campus,None,22,184,840,54,112,754,176,35,154,83,29,25,2468,High activity,10,10,9.67,10,8.96,10,9.33,9.33,5,10,10,8,6,9.41622883923283,High achiever
82ed5d2d3,Aditi,Devi,India,F,21.3.1998,On campus,None,23,181,839,52,113,772,169,32,151,85,28,23,2468,High activity,10,10,9.67,10,8.96,10,9.33,9.33,5,10,10,8,6,9.41622883923283,High achiever
84221fc3b,Ali,Mammadov,Azerbaijan,M,2.10.1998,On campus,Part-time,0,33,102,12,20,153,18,16,60,2,0,3,419,Low activity,9,10,7.33,9,8.94,10,4,8,4,4,2,6,6,6.22183304211196,Low achiever
86f00df48,Oliwia,Nowak,Poland,F,21.10.1996,On campus,None,0,30,130,17,15,170,20,17,60,6,5,13,483,Low activity,10,9,6.67,10,9.03,10,7,6.67,3,8,2,6,2,7.97314652709881,High achiever
8bccbfa18,Ammar,Salman,Iraq,M,9.10.1997,On campus,None,6,65,51,14,25,141,9,18,55,1,7,14,406,Low activity,8,8,0,5,3,0,7.67,0.67,2,4,2,4,2,5.60420315303208,Low achiever
8c70d6efc,Jacob,Mendoza,Philippines,M,3.11.1998,On campus,None,0,37,172,26,15,212,61,21,41,24,5,4,618,Moderate activity,10,10,10,10,9.65,10,8,10,5,10,8,10,10,9.35785172288758,High achiever
8e21dc99c,Camila,Quispe,Peru,F,25.2.1999,On campus,None,27,187,863,50,114,740,172,32,149,81,27,26,2468,High activity,5,9,9.67,7,9.03,10,9.67,9.83,5,10,10,10,10,9.71161704705364,High achiever
91489f7a9,Laia,Sansa,Andorra,F,29.11.1999,On campus,None,1,60,159,18,24,232,26,15,95,8,6,14,658,Moderate activity,8,9,8.67,7,8.56,10,7.67,7.67,5,8,6,10,8,6.84296555862906,Low achiever
91f8864ff,Olivia,Jansen,Netherlands,F,3.6.1997,On campus,Part-time,3,48,106,13,12,130,43,15,47,2,0,12,431,Low activity,10,10,9.67,10,9.18,10,7.33,9.67,5,8,10,10,10,8.90718038593749,High achiever
91fc5722e,Nutsa,Beridze,Georgia ,F,29.12.1999,On campus,Part-time,11,60,182,73,16,357,21,16,104,17,10,20,887,High activity,10,10,9.83,10,9.65,6.67,8,9.67,4,10,6,10,10,8.82778750765425,High achiever
93d1f2e82,Louise,Bernard,France,F,5.9.1998,Remote,Part-time,1,55,164,21,28,233,24,14,90,9,6,13,658,Moderate activity,6,9,4.33,1,3,0,5.67,3.67,2,4,2,2,2,5.60420315303208,Low achiever
9bed223d9,Maria,Sanchez,Cuba,F,9.2.1996,On campus,None,6,56,163,18,23,222,32,25,103,19,6,12,685,Moderate activity,10,10,9.33,10,9.18,10,10,9.33,5,8,4,6,6,8.58844133211566,High achiever
9d744e5bf,Amelia,Popescu,Romania,F,26.12.1999,On campus,None,21,51,265,49,53,286,111,21,102,25,0,16,1000,High activity,10,10,10,10,9.29,10,10,10,5,10,6,10,10,9.71161704705364,High achiever
9e96fd448,Mona,Fathi,Libya,F,8.1.1996,On campus,Part-time,0,50,299,25,20,324,74,14,65,32,11,4,918,High activity,10,10,10,10,9.29,10,7.33,10,5,10,10,10,10,7.38937536498897,Low achiever
a0df056a9,Levente,Nagy,Hungary,M,9.3.1999,Remote,None,0,140,214,15,24,248,19,15,124,3,17,13,832,High activity,9,10,7.33,10,8.56,10,5.33,7.33,4,6,2,6,6,7.0262697032281,Low achiever
a1639fc4e,Markas,Kazlauskas,Lithuania,M,9.7.1994,On campus,None,35,69,429,40,61,424,83,30,66,36,52,21,1346,High activity,9,9,8.67,10,8.94,10,10,7.67,5,8,2,8,8,8.82778750765425,High achiever
a41a75ca3,Robert,Rolle,Bahamas,F,30.11.1992,Remote,Part-time,0,34,125,16,5,169,49,3,49,17,0,1,468,Low activity,0,7,0,10,9.29,10,7.67,7,4,6,4,2,6,5.01342673739047,Low achiever
a46e01dd3,Samuel,Jean,Haiti ,M,2.9.1996,On campus,None,0,40,140,18,9,258,25,11,80,3,0,4,588,Moderate activity,7,8,6,1,1,10,0,6.67,4,8,2,4,2,5.60420315303208,Low achiever
a48165ad5,Liam,Zambrano,Ecuador,M,4.4.1998,On campus,None,9,85,210,16,34,295,48,12,140,3,6,7,865,High activity,8,10,7.67,9,9.03,10,3.67,8,4,6,2,2,6,7.27262113364114,Low achiever
a9554144c,William,Jones,New Zealand,M,14.11.1997,On campus,None,5,69,211,40,27,174,38,14,162,9,8,14,771,Moderate activity,10,9,8,10,8.94,10,10,8,4,6,2,6,6,8.51605370736418,High achiever
aab7ad69f,Vera,Andersson,Sweden,F,26.8.1999,On campus,Part-time,4,57,231,38,44,304,94,18,64,43,5,9,911,High activity,9,10,7.67,10,8.94,10,4.33,7.67,3,6,2,6,6,7.7711617046248,Low achiever
ab91130d4,Oliver,Tamm,Estonia,M,5.6.1998,On campus,Part-time,0,46,93,19,1,68,54,4,35,12,7,3,342,Low activity,6,10,6.67,9,9.18,10,5.33,6.67,4,6,4,4,2,6.22183304211196,Low achiever
ac54a1cb2,Latifa,Khan,Saudi Arabia,F,5.9.1998,On campus,None,7,61,56,13,28,140,11,15,55,0,6,14,406,Low activity,9,9,3.67,10,9.11,10,7.33,3.67,2,2,2,2,2,5.85055458344512,Low achiever
aec21eaac,Viktoria,Dimitrova,Bulgaria,F,23.1.1995,On campus,Full-time,4,55,236,26,33,358,70,12,75,46,10,19,944,High activity,9,9,9.67,10,8.96,10,10,9.67,3,10,6,10,10,9.71161704705364,High achiever
b4658c3a9,Yusuf,Kaya,Turkey,M,16.6.1998,On campus,None,0,17,82,8,14,55,16,15,18,10,0,11,246,Low activity,5,5,0,1,4,10,6,4.33,3,4,2,2,6,0,Low achiever
b4ba8bbd5,Manuel,Nguema,Guinea,M,17.9.1998,On campus,None,8,86,491,58,52,455,171,24,142,72,31,28,1618,High activity,10,10,9.67,10,9.42,10,10,9.83,5,10,10,10,10,9.45242265026589,High achiever
b4be3ed9f,Luka,Popović,Montenegro,M,8.8.1999,On campus,Part-time,0,39,110,25,3,203,27,2,61,16,18,9,513,Moderate activity,10,10,8.67,10,8.56,10,8,8,5,8,2,8,6,8.82778750765425,High achiever
b6bad81ae,Thiago,Castillo,Panama,M,9.8.1994,On campus,Part-time,37,78,162,10,50,207,46,16,91,2,10,11,720,Moderate activity,10,10,10,10,9.65,10,10,10,5,10,10,10,10,9.03911266772306,High achiever
b8907d293,Fernando,Mamani,Bolivia,M,20.8.1999,On campus,None,11,29,164,26,20,341,44,8,62,21,0,24,750,Moderate activity,10,10,10,10,9.65,10,9.33,10,4,10,8,8,10,9.2446001176343,High achiever
b93ed23a0,Filip,Horvat,Slovenia,M,5.5.1996,On campus,None,14,30,126,28,30,161,34,18,47,11,22,14,535,Moderate activity,10,10,9.33,10,8.56,10,9.33,9.67,4,8,2,10,10,9.45242265026589,High achiever
ba76ebfab,Bismah,Abbasi,Pakistan,F,2.4.1996,Remote,Full-time,32,80,422,32,61,431,84,31,64,37,52,20,1346,High activity,9,9,8.67,10,8.94,10,10,7.67,5,8,2,8,8,8.82778750765425,High achiever
bab4f0825,Jakub,Veselá,Czech Republic,M,14.7.1997,On campus,None,0,9,116,9,9,218,9,2,61,0,0,3,436,Low activity,9,9,6.67,10,8.56,10,0,5,1,4,2,4,2,5.09632224176826,Low achiever
bd3ede750,Adam,Osman,Sudan,M,9.2.1999,On campus,None,5,55,119,14,18,136,15,13,102,2,8,6,493,Low activity,10,10,7,10,9.03,10,9,6.67,3,6,8,6,2,8.51605370736418,High achiever
bebbc08bf,Hamza,Hodžić,Bosnia,M,17.2.1999,On campus,Part-time,6,55,117,12,16,140,17,14,100,1,8,7,493,Low activity,10,10,7,10,9.03,10,9,6.67,3,6,8,6,2,8.51605370736418,High achiever
bf46a6f13,Daniel,Domingos,Angola,M,2.5.2000,Remote,None,0,51,151,8,27,140,43,19,72,10,8,15,544,Moderate activity,8,10,10,6,4,6.67,9.67,10,5,10,10,10,10,3.96964390073573,Low achiever
c049ad090,Eino,Korhonen,Finland,M,12.1.1998,On campus,None,0,34,98,12,23,153,19,15,62,1,0,2,419,Low activity,8,8,0,1,3,10,5.67,1,1,2,2,2,2,5.60420315303208,Low achiever
c8beecedd,Mamadou,Traore,Mali,M,16.8.1993,On campus,None,0,42,103,23,1,283,30,3,76,8,0,0,569,Moderate activity,9,10,7.67,10,9.18,10,5.33,8.33,4,4,2,6,6,6.22183304211196,Low achiever
c9608e10c,Irene,Smith,Indonesia,F,8.3.1997,On campus,Part-time,8,28,168,23,23,339,44,5,64,22,0,26,750,Moderate activity,10,10,10,9,9.65,6.67,10,10,4,8,6,10,10,9.45242265026589,High achiever
d19a40ad6,Inuk,Olsen,Greenland,M,18.11.1998,On campus,None,0,50,160,9,24,130,48,18,71,8,10,16,544,Moderate activity,8,9,6.67,1,0,3.33,7,6.67,3,6,2,4,2,3.96964390073573,Low achiever
d2c3ce9a4,Amir,Ait,Morocco,M,19.6.1997,On campus,None,0,42,111,19,1,277,31,2,76,10,0,0,569,Moderate activity,9,9,6,9,9.29,10,4.33,6.67,4,4,2,2,2,7.00875656738465,Low achiever
d3e241674,Mateo,Rojas,Chile,M,22.6.1998,On campus,None,11,76,320,39,50,356,79,28,145,17,7,19,1147,High activity,7,9,9.67,9,9.03,10,10,9.67,5,10,10,10,10,9.97314652656175,High achiever
d93f7f0d3,Zahra,Gul,Afghanistan,F,22.11.1999,Remote,None,1,123,92,7,10,59,26,2,87,10,0,0,417,Low activity,7,8,9.67,6,4,10,9.33,9.67,5,10,8,10,10,2.62697022882296,Low achiever
dc1de84bd,Thabo,Mohapi,Lesotho,M,20.7.1997,On campus,None,8,88,483,60,53,457,172,25,143,70,30,29,1618,High activity,0,9,9.83,9,9.42,6.67,10,9.67,5,10,10,10,10,9.2446001176343,High achiever
dc40ae49d,Miguel,Sousa,Brazil,M,22.12.1995,Remote,None,11,82,252,45,46,280,81,16,65,18,11,7,914,High activity,9,10,7.67,10,8.94,10,0,7.67,4,6,2,6,6,7.7711617046248,Low achiever
dd44e7585,Orlando,Martinez,Belize,M,28.10.1999,Remote,None,0,49,198,8,21,97,43,21,68,3,2,1,511,Moderate activity,0,7,9.67,6,4,10,7.67,9.67,5,10,6,10,10,5.60420315303208,Low achiever
e06debeb8,Melokuhle,Dlamini,South Africa,F,30.7.1997,On campus,Part-time,12,42,250,38,20,437,44,12,71,30,16,14,986,High activity,8,9,8.67,9,9.29,10,7.33,8.67,5,8,4,8,8,8.23817863404414,High achiever
e1ef8e754,Santiago,Flores,Mexico,M,14.3.1998,On campus,Part-time,0,27,131,18,14,163,24,18,64,7,5,12,483,Low activity,10,9,6.67,10,9.03,10,7,6.67,3,8,2,6,2,7.97314652709881,High achiever
e4f7cca85,Ahmed,Varghese,Kuwait,M,4.5.1998,On campus,None,3,47,369,72,23,604,123,17,121,24,0,13,1416,High activity,10,10,9.67,10,8.96,10,7.67,9.33,5,10,6,6,8,8.90718038593749,High achiever
e567f4009,Odval,Ganbold,Mongolia,F,12.10.1997,On campus,None,0,37,119,17,7,169,46,4,51,17,0,1,468,Low activity,9,10,7.67,10,8.96,10,7.67,8.67,3,4,2,6,6,5.09632224176826,Low achiever
e6ec47f29,Zoran,Babić,Serbia,M,29.10.1998,On campus,Part-time,0,24,64,10,27,146,17,11,39,3,9,6,356,Low activity,10,10,10,10,9.18,10,5.33,10,5,10,10,10,10,8.23817863404414,High achiever
e7d532916,Melina,Marxer,Liechtenstein,F,22.4.1995,On campus,None,9,88,189,16,35,303,58,15,136,3,6,8,866,High activity,9,9,6,9,9.11,10,5,6.67,4,6,2,2,2,7.00875656738465,Low achiever
